id_bsran_Group	id_bsran	title_bsran	layer_bsran	objtype_bsran	objpixel_bsran	objgeo_bsran	pensymcolor_bsran	pensymsizepixel_bsran	pensymsizemeters_bsran	brushfill_bsran	brushcolor_bsran	alpha_bsran	uri_bsran	labelsize_bsran	labelcolor_bsran	objgeocenter_bsran
-1064471185_27	106447118527			POINT	309.049069145686 341.34131216644	0.440108366310517 0.515971650837044	-16777216	10	10	10	10					
-1064471185_28	106447118528			POINT	297.481209975034 340.439868769313	0.423684082925247 0.517300363232634	-16777216	10	10	10	10					
-1064471185_29	106447118529			POINT	285.913353884175 339.5384167049	0.407259799539977 0.518629075628223	-16777216	10	10	10	10					
-1064471185_30	106447118530			POINT	274.345500885294 338.636955896302	0.390835516154705 0.519957788023816	-16777216	10	10	10	10					
-1064471185_31	106447118531			POINT	262.77765099058 337.735486266626	0.374411232769434 0.521286500419406	-16777216	10	10	10	10					
-1064471185_32	106447118532			POINT	357.712115212811 348.420030401443	0.509189679287264 0.505683465394356	-16777216	10	10	10	10					
-1064471185_33	106447118533			POINT	357.182335669951 360.123470254535	0.508396667428202 0.488954027599931	-16777216	10	10	10	10					
-1064471185_34	106447118534			POINT	356.652534067722 371.82690858903	0.507603655569139 0.472224589805508	-16777216	10	10	10	10					
-1064471185_35	106447118535			POINT	356.122710500806 383.530345426969	0.506810643710076 0.455495152011082	-16777216	10	10	10	10					
-1064471185_36	106447118536			POINT	340.722677331738 389.760090384744	0.484919740030287 0.446642337411985	-16777216	10	10	10	10					
-1064471185_37	106447118537			POINT	325.587562767705 390.138101997697	0.463425342280027 0.446154241710099	-16777216	10	10	10	10					
-1064471185_38	106447118538			POINT	310.45244682042 390.516098178907	0.441930944529769 0.445666146008214	-16777216	10	10	10	10					
-1064471185_39	106447118539			POINT	295.31732949222 390.894078976802	0.420436546779512 0.445178050306329	-16777216	10	10	10	10					
-1064471185_40	106447118540			POINT	280.18221078544 391.27204443981	0.398942149029251 0.444689954604443	-16777216	10	10	10	10					
-1064471185_41	106447118541			POINT	265.04709070242 391.649994616351	0.377447751278992 0.44420185890256	-16777216	10	10	10	10					
-1064471185_42	106447118542			POINT	355.089698741307 394.333122764195	0.505306217819329 0.440055037885378	-16777216	10	10	10	10					
-1064471185_43	106447118543			POINT	355.499234457108 406.097756829529	0.505847018211953 0.423234860435221	-16777216	10	10	10	10					
-1064471185_44	106447118544			POINT	355.908750937166 417.862391078264	0.506387818604576 0.406414682985064	-16777216	10	10	10	10					
-1064471185_45	106447118545			POINT	356.318248116363 429.627025531956	0.5069286189972 0.389594505534906	-16777216	10	10	10	10					
-1064471185_46	106447118546			POINT	356.727725929582 441.391660212159	0.507469419389823 0.37277432808475	-16777216	10	10	10	10					
